img_fn,mask_basename,mean_similarity_score,mask_area_pixels,mask_area_fraction,mask_centroid_x,mask_centroid_y,image_width,image_height,center_distance_pixels,animacy_bin,person_bin,max_gbvs,mean_gbvs
1047_tripod_mask_merged.png,1047_tripod_mask_merged.png,0.5956785678863525,2207,0.004597916666666667,560.8509288627096,455.7757136384232,800,600,224.6246222435502,0.0,0.0,167,81.875396
1047_woman_in_black_mask_0.png,1047_woman_in_black_mask_0.png,0.6086427509784699,9076,0.018908333333333333,592.2300572939621,409.7830542089026,800,600,222.05230696882586,1.0,1.0,217,135.165932
1050_Girl_in_yellow_mask_0.png,1050_Girl_in_yellow_mask_0.png,0.6791909445415844,43879,0.09141458333333333,89.13304769935505,256.15362701975886,800,600,313.3792480859781,1.0,1.0,191,71.581463
1050_boy_in_blue_mask_0.png,1050_boy_in_blue_mask_0.png,0.6549669206142426,28434,0.0592375,351.9845959063093,306.1190476190476,800,600,47.974216174627976,1.0,1.0,255,172.053914
1050_green_bucket_mask_0.png,1050_green_bucket_mask_0.png,0.8156485319137573,3377,0.007035416666666666,646.2214983713355,493.6147468167012,800,600,313.92998055348096,0.0,0.0,163,129.199289
1050_yellow_bucket_mask_0.png,1050_yellow_bucket_mask_0.png,0.8187748735601251,7953,0.01656875,711.4070162202943,505.9812649314724,800,600,374.0594866263223,0.0,0.0,174,93.487615
1053_Man_in_white_mask_0.png,1053_Man_in_white_mask_0.png,0.458295079794797,62658,0.1305375,305.17750327172905,456.24180471767374,800,600,182.93366758256408,1.0,1.0,255,94.800824
1053_red_display_mask_0.png,1053_red_display_mask_0.png,0.5563970587470315,15999,0.03333125,351.6347271704482,67.94887180448778,800,600,236.4466310008708,0.0,0.0,196,109.315145
1053_wire_mask_0.png,1053_wire_mask_0.png,0.572433739900589,4714,0.009820833333333334,492.9499363597794,314.5411540093339,800,600,94.65266461954104,0.0,0.0,61,32.454179
1053_woman_in_red_mask_0.png,1053_woman_in_red_mask_0.png,0.4556870996952057,18450,0.0384375,106.49176151761517,522.3209214092141,800,600,368.1073088600677,1.0,1.0,129,38.97897
1055_Man_with_bat_mask_merged_1.png,1055_Man_with_bat_mask_merged_1.png,0.4239573316140608,40768,0.08493333333333333,336.1577217425432,259.9525853610675,800,600,74.67424066884604,1.0,1.0,255,174.582319
1055_bat_mask_0.png,1055_bat_mask_0.png,0.5814467993649569,1769,0.0036854166666666667,149.05426794799322,78.5087620124364,800,600,334.00627534575085,1.0,0.0,202,91.451668
1055_man_mask_0.png,1055_man_mask_0.png,0.484180337190628,7034,0.014654166666666666,548.8736138754621,425.436025021325,800,600,195.37747802750303,1.0,1.0,242,187.060279
1055_man_mask_1.png,1055_man_mask_1.png,0.3959520608186722,39050,0.08135416666666667,343.4267349551857,266.9765172855314,800,600,64.8227427733842,1.0,1.0,255,177.59306
1058_Dog_mask_merged.png,1058_Dog_mask_merged.png,0.6818331420421601,9701,0.020210416666666668,80.6770436037522,427.81084424286155,800,600,343.67390106838144,1.0,0.0,104,33.938048
1058_child_mask_1.png,1058_child_mask_1.png,0.7392015402967279,376,0.0007833333333333334,347.25,255.8244680851064,800,600,68.10003368610687,1.0,1.0,158,128.489362
1058_child_mask_merged_1.png,1058_child_mask_merged_1.png,0.734187912940979,6341,0.013210416666666667,580.6328654786312,427.546601482416,800,600,221.8221068958109,1.0,1.0,255,123.194607
