human_csv,cache_subfolder,model_csv_relpath,model_csv_path,metric,method,predictor_column,n_bootstrap,n_rows_aligned,n_human_correlation_smaller,pct_human_correlation_smaller
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,spearman_rho_person,spearman,person_bin,10000,1306,9995,99.95
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,pearson_r_gbvs,pearson,max_gbvs,10000,1306,120,1.2
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,spearman_rho_gbvs,spearman,max_gbvs,10000,1306,19,0.19
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,pearson_r_gbvs_mean,pearson,mean_gbvs,10000,1306,30,0.3
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,spearman_rho_gbvs_mean,spearman,mean_gbvs,10000,1306,1,0.01
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,pearson_r_area,pearson,mask_area_pixels,10000,1306,1024,10.24
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,spearman_rho_area,spearman,mask_area_pixels,10000,1306,1750,17.5
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,pearson_r_center_dist,pearson,center_distance_pixels,10000,1306,9584,95.84
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,spearman_rho_center_dist,spearman,center_distance_pixels,10000,1306,9699,96.99
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,pearson_r_person,pearson,person_bin,10000,1306,9998,99.98
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,spearman_rho_person,spearman,person_bin,10000,1306,9919,99.19
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,pearson_r_gbvs,pearson,max_gbvs,10000,1306,207,2.07
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,spearman_rho_gbvs,spearman,max_gbvs,10000,1306,82,0.82
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,pearson_r_gbvs_mean,pearson,mean_gbvs,10000,1306,179,1.79
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,spearman_rho_gbvs_mean,spearman,mean_gbvs,10000,1306,122,1.22
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,pearson_r_area,pearson,mask_area_pixels,10000,1306,837,8.37
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,spearman_rho_area,spearman,mask_area_pixels,10000,1306,714,7.14
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,pearson_r_center_dist,pearson,center_distance_pixels,10000,1306,8835,88.35
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,spearman_rho_center_dist,spearman,center_distance_pixels,10000,1306,8656,86.56
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,pearson_r_person,pearson,person_bin,10000,1306,10000,100.0
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,spearman_rho_person,spearman,person_bin,10000,1306,9944,99.44
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,pearson_r_gbvs,pearson,max_gbvs,10000,1306,1664,16.64
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,spearman_rho_gbvs,spearman,max_gbvs,10000,1306,1595,15.95
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,pearson_r_gbvs_mean,pearson,mean_gbvs,10000,1306,3320,33.2
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,spearman_rho_gbvs_mean,spearman,mean_gbvs,10000,1306,2479,24.79
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,pearson_r_area,pearson,mask_area_pixels,10000,1306,255,2.55
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,spearman_rho_area,spearman,mask_area_pixels,10000,1306,674,6.74
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,pearson_r_center_dist,pearson,center_distance_pixels,10000,1306,9843,98.43
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,spearman_rho_center_dist,spearman,center_distance_pixels,10000,1306,9923,99.23
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,pearson_r_person,pearson,person_bin,10000,1306,9963,99.63
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,spearman_rho_person,spearman,person_bin,10000,1306,9789,97.89
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,pearson_r_gbvs,pearson,max_gbvs,10000,1306,389,3.89
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,spearman_rho_gbvs,spearman,max_gbvs,10000,1306,129,1.29
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,pearson_r_gbvs_mean,pearson,mean_gbvs,10000,1306,892,8.92
